A1,A2,A3,A4,A5,A6,A7,A8,A9,¿Ã≈ªø©∫Œ
24,B,M,B,181.395000,42,213,921,A,0
12,B,M,A,218.380000,191.400000,554,1082.100000,A,1
23,B,M,A,168.699000,37.800000,33,909,A,1
22,B,M,G,166.952000,128.400000,215,990,A,0
56,B,M,H,137.707000,102,421,768.600000,A,1
30,B,M,D,131.151000,36.500000,515,947,A,1
43,B,M,G,210.279000,93.500000,355,1067.600000,A,1
19,B,M,G,181.520000,70.800000,332,881.400000,A,0
19,B,M,A,177.085000,0,144,750.600000,A,1
24,B,M,B,80.231900,81.600000,161,913.200000,A,1
29,B,M,H,199.450000,78,478,1069.500000,A,1
33,B,MH,H,205.543000,22.800000,406,1525.500000,A,1
38,B,M,G,182.795000,24,485,983.100000,A,1
33,B,M,A,156.268000,28.800000,202,913.200000,A,1
24,B,M,K,100.792000,77.500000,527,890.800000,A,1
43,B,M,B,99.357000,1.800000,531,867,A,0
18,B,MH,F,96.222500,0,679,1455.600000,A,1
21,B,M,B,92.017100,3.500000,361,878,A,0
18,B,M,A,157.764000,49.800000,370,843.300000,A,1
65,B,M,D,127.641000,94,544,976.300000,A,1
34,B,M,F,111.210000,2,729,1189.700000,A,1
24,B,M,K,79.269300,91.800000,287,776.400000,A,1
13,B,MH,H,117.594000,120,557,1282.200000,A,1
40,B,M,K,112.279000,42,387,1204.500000,A,1
12,B,M,B,109.335000,24,322,1238.400000,A,0
28,B,MH,G,202.567000,50.400000,314,1319.100000,A,1
34,B,M,A,152.253000,3.600000,282,984.900000,A,1
30,B,M,B,187.759000,22,180,964.300000,A,1
34,B,M,H,215.433000,0,269,1232.400000,A,1
25,B,MH,B,221.214000,0,513,1280.400000,A,0
17,B,M,G,191.265000,9,462,1019.100000,A,0
12,B,M,H,120.879000,30,411,792.600000,A,1
37,B,MH,B,244.009000,6,277,1451.400000,A,0
42,B,M,H,128.146000,16.200000,384,786.600000,A,1
58,B,M,A,168.543000,98,330,800.900000,A,1
16,B,M,H,131.432000,0,530,909.300000,A,1
23,B,M,G,188.366000,69.600000,296,1161.900000,A,0
23,B,M,B,153.749000,82.200000,187,1008.600000,A,0
36,B,M,D,141.894000,22.200000,362,824.700000,A,1
46,B,MH,A,172.189000,20.400000,663,1341.900000,A,1
20,B,M,K,97.508000,28.200000,511,919.800000,A,1
40,B,M,H,98.562800,83.500000,477,925.900000,A,1
17,B,MH,H,144.461000,144,399,1366.500000,A,1
17,B,M,H,138.435000,19.500000,255,882,A,1
12,B,M,H,89.765200,90,318,773.700000,A,1
31,B,M,D,143.531000,58.800000,352,798.600000,A,1
18,B,M,H,99.457000,119.500000,385,797.800000,A,0
22,B,M,B,114.132000,30.500000,252,772.100000,A,0
