생산량,생산비용,공급품질평가(%),배송지연(일),결함률,품질평가점수,유지관리(시간),가동중단 시간비율(%),재고회전율,재고부족율(%),근로생산성(%),월별안전사고건,에너지소비량(kWh),에너지효율,추가공정시간,추가재료비용($),결함상태
202,13175.40,86.65,1,3.12,63.46,9,0.05,8.63,0.08,85.04,0,2419.62,0.47,5.55,236.44,1
535,19770.05,86.31,4,0.82,83.70,20,4.91,9.30,0.04,99.66,7,3915.57,0.12,9.08,353.96,1
960,19060.82,82.13,0,4.51,90.35,1,2.46,5.10,0.00,92.82,2,3392.39,0.50,6.56,396.19,1
370,5647.61,87.34,5,0.64,67.63,8,4.69,3.58,0.06,96.89,8,4652.40,0.18,8.10,164.14,1
206,7472.22,81.99,3,3.87,82.73,9,2.75,6.85,0.07,88.32,7,1581.63,0.26,6.41,365.71,1
171,6975.93,95.33,1,3.91,92.57,19,3.03,7.93,0.07,87.08,7,1238.99,0.12,7.28,171.71,1
800,15889.70,99.33,3,4.79,90.73,10,3.56,3.05,0.04,91.06,8,3138.43,0.33,4.89,188.73,1
120,17266.78,99.40,4,0.74,92.12,13,1.60,8.38,0.01,88.71,3,1004.11,0.29,9.33,312.53,1
714,8202.67,97.30,5,3.19,95.17,2,3.49,3.67,0.06,94.30,4,4150.88,0.37,5.52,215.68,1
566,17610.55,94.02,3,1.99,76.22,6,3.36,8.85,0.09,88.99,1,2952.26,0.26,5.72,482.31,0
314,15992.02,85.70,0,0.91,82.75,3,4.18,3.55,0.05,97.90,6,2449.98,0.40,3.85,159.56,0
430,13133.56,92.62,1,3.03,91.63,6,0.92,3.94,0.05,95.12,2,2499.90,0.11,3.08,328.20,1
558,13855.22,89.11,0,2.66,87.89,15,3.07,2.50,0.03,83.36,5,2724.53,0.32,1.66,469.32,1
472,9463.23,95.16,5,3.26,60.55,14,0.51,3.17,0.05,91.78,5,1334.18,0.27,3.60,246.74,1
199,13475.33,85.64,2,3.82,74.21,15,3.37,3.63,0.03,93.59,9,3020.19,0.42,4.50,149.45,1
971,15333.28,86.36,2,3.95,71.24,5,0.35,4.29,0.09,85.89,1,1600.49,0.16,9.28,356.82,1
763,18099.84,98.49,0,4.57,70.49,3,2.98,8.52,0.04,88.83,8,4115.05,0.47,6.10,367.66,1
