생산량,생산비용,공급품질평가(%),배송지연(일),결함률,품질평가점수,유지관리(시간),가동중단 시간비율(%),재고회전율,재고부족율(%),근로생산성(%),월별안전사고건,에너지소비량(kWh),에너지효율,추가공정시간,추가재료비용($),결함상태
202,13175.403783,86.648534,1,3.121492,63.463494,9,0.052343,8.630515,0.081322,85.042379,0,2419.616785,0.468947,5.551639,236.439301,1
535,19770.046093,86.310664,4,0.819531,83.697818,20,4.908328,9.296598,0.038486,99.657443,7,3915.566713,0.119485,9.080754,353.957631,1
960,19060.820997,82.132472,0,4.514504,90.350550,1,2.464923,5.097486,0.002887,92.819264,2,3392.385362,0.496392,6.562827,396.189402,1
370,5647.606037,87.335966,5,0.638524,67.628690,8,4.692476,3.577616,0.055331,96.887013,8,4652.400275,0.183125,8.097496,164.135870,1
206,7472.222236,81.989893,3,3.867784,82.728334,9,2.746726,6.851709,0.068047,88.315554,7,1581.630332,0.263507,6.406154,365.708964,1
171,6975.931602,95.331919,1,3.914574,92.568436,19,3.027324,7.930009,0.074069,87.079118,7,1238.994421,0.118021,7.279442,171.711804,1
800,15889.698650,99.325486,3,4.789000,90.729911,10,3.559561,3.046889,0.040192,91.063158,8,3138.431150,0.333913,4.891669,188.727737,1
120,17266.779948,99.401489,4,0.743605,92.119681,13,1.604879,8.380972,0.009702,88.705569,3,1004.108554,0.293422,9.333835,312.526896,1
714,8202.670495,97.301422,5,3.185856,95.172937,2,3.494920,3.668747,0.058433,94.298961,4,4150.875773,0.366683,5.517451,215.680921,1
221,12587.790394,92.015843,2,2.425283,97.507284,0,2.633960,5.933418,0.032955,85.316362,6,3023.891555,0.317071,5.965972,364.638176,0
566,17610.545420,94.017314,3,1.987848,76.220846,6,3.362400,8.851860,0.094689,88.991821,1,2952.262304,0.259271,5.724690,482.310650,0
314,15992.023171,85.704116,0,0.906434,82.750764,3,4.179166,3.547396,0.050271,97.902655,6,2449.983915,0.395103,3.845701,159.556881,0
430,13133.558082,92.615408,1,3.031944,91.626381,6,0.921146,3.935077,0.047227,95.122158,2,2499.895345,0.110008,3.081146,328.204333,1
558,13855.215357,89.112991,0,2.655683,87.885593,15,3.067755,2.502169,0.030921,83.361403,5,2724.534713,0.316412,1.664515,469.319673,1
187,12625.408204,89.640347,3,0.970495,99.820809,9,0.260557,3.172913,0.033879,97.737297,5,1064.129378,0.145550,7.463575,170.611591,0
472,9463.226770,95.155531,5,3.256203,60.547106,14,0.510575,3.172207,0.051275,91.780332,5,1334.183149,0.274403,3.603477,246.740361,1
199,13475.329893,85.638367,2,3.820789,74.205329,15,3.372971,3.627420,0.030666,93.585744,9,3020.192080,0.416450,4.502782,149.446734,1
971,15333.279531,86.360792,2,3.952752,71.241117,5,0.354688,4.289603,0.089230,85.885131,1,1600.489061,0.156984,9.279353,356.815087,1
763,18099.843738,98.492836,0,4.574179,70.492634,3,2.976789,8.519867,0.043902,88.830885,8,4115.050433,0.474324,6.098026,367.657171,1
230,14544.370310,81.124486,4,2.342618,68.901191,3,1.100063,9.326111,0.029202,96.136250,7,2097.940696,0.455402,1.873703,365.672928,1
761,16416.823056,89.712686,4,4.788827,88.364954,23,1.520424,5.250245,0.015539,86.613524,6,1391.598549,0.265962,8.196507,316.850819,1
408,7401.074524,98.256016,5,4.394432,63.390379,22,0.648183,3.025672,0.067235,83.301232,8,1940.839704,0.102390,3.305175,398.504347,1
869,11923.362116,92.207260,2,1.834257,89.664353,3,1.243337,3.790479,0.002579,87.566098,3,2428.392921,0.415898,5.974353,114.350919,1
443,5139.974297,90.928141,0,1.216774,87.737034,21,4.106459,7.889648,0.045000,81.384373,1,1141.266434,0.452358,5.589833,483.005395,1
591,8700.182968,84.994884,0,2.459252,70.032165,21,3.194392,7.419404,0.055012,94.357129,3,1566.702098,0.169895,3.142710,188.838483,1
513,15896.925727,86.865510,0,2.308544,70.113351,16,4.748799,9.737658,0.033978,82.954918,9,2295.387018,0.466477,2.041939,148.624787,1
905,19877.149270,97.040968,3,3.090737,85.154423,12,0.243724,2.115909,0.074982,85.702518,2,2241.921895,0.465639,2.901354,476.454417,1
485,6487.671494,91.184363,5,3.125238,90.486844,1,3.962060,8.006070,0.067566,97.621620,1,4201.546786,0.288516,1.876040,432.174767,1
291,11022.414738,90.294844,4,3.874941,95.059425,19,3.495386,6.046349,0.097140,90.809953,1,4373.021901,0.419214,3.480652,405.948168,1
376,17001.064530,81.991594,4,2.794505,94.085583,5,1.304462,9.221544,0.050877,86.426769,7,1773.674397,0.277979,9.975678,141.898284,0
260,8060.534519,80.320563,3,0.971702,98.595320,21,3.645834,6.609333,0.053781,90.953338,4,1495.759536,0.325619,4.618830,423.011685,1
559,13326.274240,99.273704,1,4.362311,83.255396,0,3.582743,5.573342,0.024584,84.365553,5,3536.649937,0.227936,8.774996,343.609409,1
413,15996.069440,87.539723,3,1.893941,96.346222,7,2.296726,7.326805,0.038548,80.503463,7,4218.494223,0.163788,5.942599,392.763444,0
121,14239.781754,92.064261,5,4.870839,92.340531,17,3.443198,8.668188,0.002686,92.074650,6,4854.892389,0.398615,6.999248,491.228112,1
352,7820.371019,81.594301,0,1.030370,95.786705,20,2.222905,4.259988,0.068927,94.282519,6,1027.185139,0.100557,2.407132,177.776471,1
847,10330.768530,93.662286,3,4.812130,60.465064,3,1.677728,2.860216,0.031162,97.595635,6,2654.712454,0.331821,3.473253,301.752784,1
956,16756.876767,98.651334,0,0.909553,98.636120,4,2.332455,5.464145,0.054037,95.437667,6,3935.951336,0.445874,5.593991,401.340779,1
660,13313.397712,91.513305,5,1.539663,78.941207,4,4.475647,3.716159,0.025499,98.533554,7,4314.237195,0.188511,8.930291,273.462540,0
574,5078.444203,82.522306,5,0.709610,91.927320,14,1.922919,5.436329,0.062104,99.719070,0,1249.143795,0.233160,1.385992,121.861233,1
158,16414.861400,91.634431,2,3.673009,65.088165,9,2.018441,9.928385,0.044758,94.898709,2,3722.458078,0.334994,5.562280,144.575560,1
610,5529.670324,95.326944,0,4.326344,75.837644,7,3.042016,6.592977,0.048186,97.358466,0,2155.754870,0.198748,1.459110,340.836789,1
781,16186.006741,88.128331,4,2.453320,70.858427,6,3.764997,7.548802,0.094261,93.474630,7,1298.387837,0.438995,5.111404,214.001659,1
